Tweet,Category
I'm from Venice & I had a hard time finding you but so glad I was able to help. God bless all of you for what you do & God Bless Key West!,0
You're by my family. Stay safe!,0
"Thanks, Joe. Hope you and your family are safe as well. God bless, man.",0
You guys and Mr. Ollie stay safe. Why didn't you guys come bk to NC to ride out the storm.... Much safer...prayers for all in FL.,0
Stay safe! God bless you all!,0
"Y'all stay safe, thinking of all you guys from here in Greensboro!",0
You guys stay safe! Miss seeing you guys in Greensboro!,0
Hope you all stay safe!,0
Thinking of all my Tampa friends and former colleagues @10NewsWTSP . Stay safe. You're in good hands with @BobbyDWeather . #IrmaFlorida,0
"Liz you and @grant_gilmore stay safe... from your friends in the Gboro, NC. We miss you both!",0
Stay safe and God bless you all.,0
Hi YaremiNEWS hope you and your family are ok over there? I'm praying for you all just sanding a prayer to you and your family,0
Hope you and your family are safe.,0
God Bless Everyone we are having gusts up to 80 lots of flooding low lying areas and lots of tornado alllooks good hope all are safe,0
Thank you & God Bless you Kristen for all that you & Team12 are doing. Sending my prayers to you and all my friends in Florida,0
I don't know you but thank you. God bless you and your family.,0
Thank you. I do appreciate all you all do ! Stay safe. Prayers for everyone with your company.,0
Stay safe and thank you for all you do,0
Stay safe YameriNEWS you and you family ok? are you stay at your house ride out the storm ?if you do I will pray for and people there,0
Reported water at Publix 195 & Lantana. Tell @Thomas_Forester I said Hi! Hope you all stay safe.,0
Thank you for your service. Officer. My thoughts and prayers are with the family and friends. God bless.,0
I'm from Venice & I had a hard time finding you but so glad I was able to help. God bless all of you for what you do & God Bless Key West!,0
You're welcome. You're awesome news reporter you're response to me was awesome. I am a Fox Family member long time.. Be safe and careful.,0
Vanessa you all work like you do not knowing what you will come home too. Bless you and the @FOX13News news crew for all you did.,0
"Bless their hearts, hope all is okay. Thoughts and prayers to you all and to all the beautiful creatures.",0
wow!! stay safe all of you there! praying for you from Israel. thank you for taking care of those angels!!!,0
How cute God bless you guys be safe,0
Thank you. God Bless you all! Prayers for Florida And all the First Responders.,0
Thank you for being #GuardianOfMotherNature and #ProtectMotherNaturesCreatures Be safe all. God bless,0
You guys are incredible. Getting you at our 'hunker down' spot up here in Orlando. Stay safe! pic.twitter.com/GQ5G8U8XXB,0
God Bless you all. Be safe !!,0
"God bless and keep you and your brood safe and know that our prayers are with all of you, furry and feathered and friends.",0
Stay safe! God bless you all!,0
"I agree, I didn't realize you all have stay and hang in there, THANK YOU!! You guys rock!",0
U guys stay safe Sorboni all of us in Boston are praying for you and please let us know when it passes that you guys are ok,0
Stay safe and God bless you all.,0
Not cool at all..y'all stay safe..I'm taking my family outta here,0
Wow! They are so dedicated! We love our PUBLIX stores in Vero; we hope all staff & their families stay safe through Irma...thank you all!,0
I'm from Venice & I had a hard time finding you but so glad I was able to help. God bless all of you for what you do & God Bless Key West!,0
"Thoughts are with my family, friends and former coworkers at @mysuncoast in #Sarasota ...stay safe everyone...remember: this too shall pass.",0
"@TourChef Hi D, hope you & your family are ok Sending prayers Stay safe, stay warm and stay here Lord",0
Stay safe. Be careful... God Bless,0
Thank you so much for the information I shared with my family. You all stay safe. We are Grateful,0
"To all first responders: please be safe, thank you for what you do and God bless you!",0
My prayers go out for ALL of our Emergency Responders - Stay safe out there and thank you for all that you do.,0
A huge thank you to each of you for helping to keep us safe as well!!! Stay safe and God bless you!,0
I hope you and your crew stay safe!,0
Hope y'all are safe middle Tenn.praing for FL stay safe an stay inside if u can may are Lord b with. Y'all in Jesus name Amen,0
@WPLGLocal10 great coverage you r my heroes. Ladies and gentlemen standing ovation to all of you. God bless you and keep you safe #Irma2017,0
@AbandonedPetRes Thank you for all you do Stay safe God bless @WPLGLocal10 @wsvn @CBSMiami @nbc6 https:// twitter.com/abandonedpetre s/status/906941266864328704 …,0
Be safe dear !! May god bless you and your family!! Prayers for the safety !,0
I don't know you but Please Stay Safe. Get into an Interior room with no windows. Good Luck. Stay Safe!,0
"My thought and prayers are with all your officers, firemen, personnel and their families during this time. May God bless and protect you !",0
You are brave reporter! ..Scary hurricane winds! Be safe.... #GOD Bless You and all the people in Miami and South Florida!,0
Their toes/claws look so small to be holding on that tight! Hope I'm wrong. Crazy animal lady here! Hope they all stay as safe as possible.,0
"God bless you all, praying for you and everybody. I have friends in Moron hoping they are ok,",0
@JulieDurda Thank You Julie I appreciate all you and All @WPLGLocal10 Are doing to Keep #SFl Safe God Bless,0
@WPLGLocal10 #Please be careful All Road Anchors& Journalist Prayers 4 Anchor Patrick& Family @WPLGLocal10 #Hope all well. God Speed. Be Safe,0
Stay Safe Brother... and to all our Media Bretheren... Don't be STUPID... be SAFE,0
"@JaceyBirch , hope you, @EricYutzy and everyone at @WPLGLocal10 stays safe this weekend. We're thinking of you all down there.",0
You too @Russ_Schwartz ...You and Your Family be safe!,0
Hey all you fabulous people of WPLG am praying that you all stay safe and sound and you guys rock #HurricaneIrma,0
Very devastating but so glad that you and your family are all safe,0
Hope you and your family are safe.,0
"Madeline, hope you're safe and sound! I'm with the @pbpost , may we have permission to use this photo? Please stay safe!",0
"In WI, watching @WPTV reliving summers back home in Okeechobee with these guys & my family. Sorry 4 bad pic @JohnFavolewptv stay safe y'all! pic.twitter.com/m2Wk2wdLpU",0
Thank you and God bless you all.,0
Stay hydrated & stay safe God bless Fla.,0
Thank you for your services. All of you are our Heroes. God Bless you and your families that sacrifice so much. pic.twitter.com/SJYlp5ILsV,0
Oh my God! God bless you all!!,0
God bless you @NC5_DanKennedy and colleagues! Stay safe and be well!,0
Lord please Bless us all. Everyone all come back to your homes safe and sound. Be patient and be careful.,0
Wow! They are so dedicated! We love our PUBLIX stores in Vero; we hope all staff & their families stay safe through Irma...thank you all!,0
@wsvn you all did an AMAZING JOB. I had you on since the beginning. You're all heros. Thank you all. You get a perfect 100% score. Well done,0
@belkysnerey how do you guys do it?! All those hours reporting non stop so grateful for @wsvn and team! @PhilFerro7 . Thank you! God bless,0
Oh my God. I am pastor Munir Sajid from Pakistan. We are standing in prayers with all of you. God be with all of you.,0
Stay safe my friends god be with you all !!!,0
"Stay safe and God bless your spirit, mind and body.",0
@AbandonedPetRes Thank you for all you do Stay safe God bless @WPLGLocal10 @wsvn @CBSMiami @nbc6 https:// twitter.com/abandonedpetre s/status/906941266864328704 …,0
God bless you and south west Florida - may you all stay safe #Tampa #ftmyers #marcoisland #naples,0
Praying for all of you as you hear the roof rumble! Please stay safe! @wsvn,0
hope you are safe! i'm with FOX News. Can you follow me so we can DM? Thank you and be safe,0
"Hi Gideon, I hope you're safe! Did you take these pictures yourself? @AP would like to distribute them with a credit to you? Thx, stay safe! pic.twitter.com/WKaNOYEF7C",0
"WOW!!! Amazing photo!! Stay safe, good thoughts and positive energy for you, family and friends coming your way from Utah.",0
"Hi Gideon - are you safe? I'm w/ NBC. Did u take photo? If so, can NBCU use on all our platforms/partners? Much appreciated! Stay safe!",0
I hope your family and friends are safe.,0
"My thought and prayers are with all your officers, firemen, personnel and their families during this time. May God bless and protect you !",0
"Hi Vivian, Are you & your Family heading out / Northward out of the danger zone? Hope so & Hoping U & your Family stay safe",0
Good morning Ann and thank you for your coverage. Please stay safe and God bless you!,0
Stay Safe Brother... and to all our Media Bretheren... Don't be STUPID... be SAFE,0
"I mean, YOU SEE WHERE IM TWEETING FROM. My #PTSD wouldn't let me stay. Praying for y'all. And GOD BLESS BRYAN NORCROSS wherever he is",0
Stay safe Coastys!!!! We will need you soon!!!! God bless you all,0
I hope you and your dog and cat are safe too thank you once again. I appreciate it,0
I have a dog and a cat so i understand your concern love hope you and your pets stay safe,0
thank you so much! that means a lot to me. I'm literally crying bc I want them to be safe. stay safe too!,0
I hope you and your cats stay safe,0
"Thank you very much and stay safe! And if you catch anything else on camera, send it along, if you can record it safely.",0
All of us from @UFWeather are safe & sound! Hope you all are as well. #hurricaneimra @WUFTNews @UF pic.twitter.com/vLJCioPkv4,0
How to keep you and your family safe during #HurricaneIrma https://www. wuft.org/news/2017/09/1 0/tips-to-keep-you-and-your-family-safe-during-hurricane-irma/#.WbVMhtyDVzk.twitter … @WUFTNews,0
Tips To Keep You And Your Family Safe During Hurricane Irma https://www. wuft.org/news/2017/09/1 0/tips-to-keep-you-and-your-family-safe-during-hurricane-irma/#.WbVMGRQqFxw.twitter …,0
True. But what they are doing is protected under the 1st amendment. They have the right to protest. Even if you do not agree or respect it.,1
Why would they leave their pets in kennels like that They could have been injured or killed They had shelters for people with pets,1
"To alll the people saying people out the people are crazy, that's me and @delaneynipper and yes we are",1
I don't think that's Key West. The people there say it's not that bad yet.,1
"A police officer telling a white person that they only shoot black people"" is obvs not a terrible joke.""",1
That’s because they are punished for a crime they committed! So yea good try on the whole “oh black ppl kill black ppl” phrase clown,1
Why ? Because they are kneeling for unjustified murders by unarmed black people ? Actually look at why they are doing it,1
Yeah that’s totally what they’re doing I bet they’re arresting people too,1
Maybe they will lower their prices . That would be helpful to the people that DO NOT have that extra money for their prices,1
5 things that have changed about FEMA since Katrina – and 5 that haven't http://www. fox10tv.com/story/36356863 /5-things-that-have-changed-about-fema-since-katrina-and-5-that-havent …,1
What the NFL and Players don’t realize is what #POTUS is saying is what the American Citizens are thinking. Not at work “POLITICS “ we don’t,1
They'd have more power restored if they didn't have over 50 trucks parked at the state Fairgrounds. Guess what? We don't have power yet.,1
Me too. Their idea is that they are covered by insurance. No big deal if they drown. All they care about is the money. Greedy evil morons.,1
"It is Irma related, only people that are at the game are retired people that live out there and rich people. No normal person is gonna go",1
"Curfew the state! The scourge make our country look bad looting. They already receive food stamps, welfare, free housing! Criminals!",1
They're not disrespecting the flag. It's not about the flag at all. It's a protest against racism and police violence against black people.,1
When? That's the problem. People need help now. FEMA can't help until they get orders. People are dying. Why the delay?,1
"As an alt right nationalist, I hope more of them do it so that White people realize exactly what black people think of them.",1
@ian693 @The_Phinstones @WPLGLocal10 @FinsBroadcaster please retweet they are blocking people who need rooms because they are FEMA people https:// twitter.com/debbieluvsport s/status/908850601395675136 …,1
But we're the racists for pointing out that it seems to be only black people doing the looting. js,1
Is it flooded? Because what if people only had enough money or provisions for the weekend? What do they do? Let them go home if they want,1
This does not reflect on you! If it was a bunch of white people I would not be embarrassed. The reflection is on these people as people!!!,1
This does not reflect on you! If it was a bunch of white people I would not be embarrassed. The reflection is on these people as people!!!,1
They are not looting because they are black; poor character is color bind.. https://www. youtube.com/watch?v=48dF7n v_rC8 …,1
black lives matter black lives matter black lives matter black lives oh oh wait ahhhhhahahlolsmhhahaha,1
think that is what they want you to feel they show you what they want u to think in case a son of a official is doing it don't let it,1
"ALL RACES OF PEOPLE COMMIT CRIMES SOME RACE PAYOFF TO NOT ADVERTISE FAMILIES FACE PEOPLE ARE ALL PEOPLE many KILL,STEAL,ROB,they do the same",1
"They're not Africans, they're black Americans doing what they're taught at home.",1
so-are we not supposed to notice it's all black people doing the looting? But they complain about unfair profiling...,1
I don't see black people or white people doing the looting .. I just see criminal scum.,1
I don't understand how stupid people defending criminals white or blacks they are looting period.,1
they give the black people bad names themselves don't need white people to say anything,1
I am not surprised black people were caught looting... because THUG CULTURE promotes it. IS THAT CLEAR ENOUGH FOR YOU ???,1
CNN would defend this..MSNBC would defend this...they would say that they are not WHITE SUPREMACISTS and they didnt kill anyone.,1
Not all black people r thieves but that is what this particular video shows. But more than that is how low these individuals r that do it.,1
So because a few people want to steal from a store then the whole community of black people don't matter?,1
Because they're black & they're looting. What can't you understand? When was the last time you were on Sunrise & Powerline??,1
People like that give black people a bad name,1
That's what you CHOOSE to see. White people steal too. Just like they stole this country.,1
Doesn't matter what color or nationality you are the looting is wrong. It just seems to be the same type of people that continue doing it.,1
"they choose to do that at their own discretion. they don't just go around killing people and sterilizing people, can't blame blacks",1
I'm not embarrassed to be black. They do not represent me. These are just thieves who need to be thrown in jail. They have bad character.,1
"Blacks are only ones looting in this video,do you have another video with whites looting, or is your comment just about racial profiling?",1
Those are not black people. Those are the perfect definition of a #Niggers sorry but it is what it is. Trust me most of my friends are AA,1
"When it is looting, it is prison time. Lil Didndonuffins are always innocent aren't they?",1
"No, she's making fun of leftists who say that looting is a black people thing so punishing looters is racist. I hate explaining jokes",1
"Honest black Americans must be horribly embarrassed & pissed off that it is ALWAYS, ALWAYS black thugs looting",1
The African Americans get a bad rep because OF people like you who spread false lies They only get a bad rep because the White Media allowIt,1
WTF are you talking about? They aren't looting because they're black. They're looting because they are criminals.,1
I don't think people who loot shops sit on any end of a political spectrum. They don't care about that stuff.,1
Why would you show black people and imply they were looting that store? That is racist.,1
"I don't think only black people steal, I just don't see any white people in this video.",1
Don't be embarrassed. They're not looting bc they're black. They're looting bc of their bad character.,1
"It's not being racist when you're watching a video of black people looting. It's a fact here, black people are looting.",1
Black people looting? What a shocker.,1
"Just because these BLACK ppl are looting, it's okay for people to say this? @WPLGLocal10 you need to do some control https://www. facebook.com/WPLGLocal10/vi deos/10154893990383837/ … pic.twitter.com/QZHxodmACY",1
Such an unnecessary racist comment. U think black people are the only ones who steal? I'm 100% black & I hate looters!,1
"People understand we're looking at a small group of people taking criminal advantage of a crisis, and that bad people come in all colors.",1
Are we allowed to point out the ethnicity? Or is that bad? Maybe looting is a cultural thing!!,1
"It is more than ridiculous, it is highway robbery, and it is sad. It is a necessity so this is what they do. I tell you humanity!",1
It is odd that where the press is there is FPL..maybe drive down streets with no power ..talk to the people with no power see how they feel,1
Why. Why? WHY?!! What the hell is wrong with these people? Why punish the helpless. I hate that I share a world with such inhuman people.,1
This makes me sick! People that are doing this deserve to be chained to a tree thru the hurricane. Let them see how they would handle it.,1
"If they don't have cods, they can also make their fish & chips from baramundi. Australians actually swear that it is a superior fish.",1
"Yeah, because only Black people commit crime against other Black people, right?",1
"They are the shittiest looking, smelling and performing people in Florida. They look like the people you see caught with drugs on COPS tv",1
"I thought 90% of homes were destroyed-is that only Key West? I don't get it. Is it money, embarrassment, Or fear of pissed-off citizens?",1
Not if these lowlife's think they can steal what's not theirs. They deserve it. Stealing is one of the lowest forms of crime there is.,1
Cmon why is it whoever steals in the news it got to be black people this is why some people don't like them(I have many black they are nice),1
"People are just people.If there is no authorities around they take advantage. Now ,where is the true Honesty and trust of Human Beings",1
I really don't fucking care that they stole some damn shoes. Tf? Bet you the ones they're wearing are the only ones they have.,1
"Because they are thieves! Why do they need to steal shoes? Because they are pieces of shit, that's why! Shoot them!",1
Damn white people always looting and always taking advantage of people...,1
"Ratings. They have to make it look dangerous or exciting, not boring. That's what people like to watch.",1
"Why is it always black people? Make you look bad. If you want respect, act like it.",1
Let's see 1 idiot shot a group of black people in a black church and has been denounced by every conservative. It was horrible & so sad.,1
It is what it is. They are WHO they are. It's what they do. Opportunistic Assholes.,1
not looting it's stealing looting is in a time of crises people go for the things then need ''food/water and so on'' their not doing that,1
The camera person is racist he is only filming the black people ! #disgusting,1
"They need to be rounded up and prosecuted. If they would take advantage of this, what else are they doing? Looks like bad people",1
Let it have been white people stealing oh they are just poor or troubled... cut them some slack YALL REALLY FULL OF IT,1
"If they are running into cars, that means they have a home, and it's not out of necessity that they steal. They're just criminals!!",1
I don't give a damn it is what we see! This cannot be disputed! It is not Racist to be honest!,1
Why is it always blacks looting? Is that in their DNA to Rob?,1
It doesnt give anyone the right to steal just bc the merch MAY have been lost. And fyi people are also stealing from homes. Is that ok too?,1
"Agree, Eddie. But as I just mentioned, we see mostly one race looting, possibly because they are videotaped more often?? Any looter is BAD!",1
"Honestly, most looting videos you see are black people. THAT DOESN'T MEAN more blacks loot. But people see similar videos & become biased. ?",1
"Exactly is just shoes , plus the people that make them in china make $3 per day.. this are kids that need education ...",1
@ESPNBooger why is the police always picking on black people they're just protecting those shoe from the Hurricane,1
Do you think that's the only thing they are stealing? What's the point of stealing shoes? What are they bringing to the world?,1
"Sad part is, they're only doing it cuz A they're stupid as fuck.. and B, they saw other people doing it",1
Why are you only showing black people? White people loot.,1
"When it is looting, it is prison time. Lil Didndonuffins are always innocent aren't they?",1
What is of importance is if that prison has not been evacuated. If that crane comes down on it ...,1
"not saying it's good they're left up, just saying it's uneasonable & to expect poor people to risk life at rich people's command.",1
What about these old people that won't evacuate Because we don't have Enough pet shelters Texas loves their pets more than Florida,1
yea because people resell them outside of the same Home Depot. I saw people doing that already.,1
Racist? We are talking about a dog not about what race he is. What the is wrong with people these days...,1
That's what I'm getting at here. It's time to make sure that these people don't get free speech. They're Nazis. Nazis don't get that.,1
"It is not a curfew, but it is a strong suggestion. People should remain in place until after the storm tomorrow. We will have a better idea",1
Exactly! Thanks for keeping us updated on Irma! #nervous #FLStrong,2
thank you @10NewsWTSP for the live coverage and keeping us informed on #irma ! #bekind #hunkerdown,2
Thank You!!! @10NewsWTSP for providing us with the coverage we need so we know what's going on!! Great Job!,2
Good morning! I'm keeping an eye on the roads on this Monday. Traffic looks great right now. Join us on @CBS12 ! #traffic pic.twitter.com/UgXbDg95hS,2
@BBPD great job catching Boynton Beach robbery suspect. @CBS12 thanks for making me aware.,2
@terihornstein Good morning from #TrinidadAndTobago Teri Awesome Anchor job on @CBS12 this morning Keep up the GREAT work!!! pic.twitter.com/tYO0WBhU1D,2
"Double good news my power is back on!! U got power yet? Thanks especially u, Roby, Lauren, Chris & others for great hurricane coverage!",2
Viewer Eugene Spann thanks @CBS12 for continuous #Hurricane Irma #Coverage . Thank you for trusting us #hurricaneirma pic.twitter.com/vEn3thBy83,2
@WPTV @CBS12 @FOX29WFLX @pbpost Our news teams are unsung heros during Irma. Thanks for keeping us informed /educated. Now get some rest!,2
Really great job by @WeatherProf and the entire @CBS12 team. Great coverage from start to finish. And a new drinking game...Couplet=shot!,2
It was great chatting with your team and keeping you up to date. Give us a few weeks and then come visit us in South FL! @CBS12 https:// twitter.com/irelandamtv3/s tatus/907125155952021504 …,2
My xfinity is still on so thank you for allowing us to get away from the news for a while. Thanks for the weather coverage though,2
#HurricaineIrma Huge Thanks to our local news/weather and live crews working 24/7 keeping us informed @WPBF25News @WPTV @CBS12,2
@CBS12 @you did a great job of keeping us informed.. Thank you!,2
I know. We've been watching @Eric_Roby and @CBS12 from the beginning of this. Also the @weatherchannel great coverage @Eric_Roby keep it up. https:// twitter.com/eric_roby/stat us/906494333720956928 …,2
A great guide for how to reassure young children during big storms! http:// cpeip.fsu.edu/storm/ Thanks for sharing @caroline0902 | @CBS12 pic.twitter.com/Sz1fcjaeRg,2
Packing up for 24 Hour Irma coverage at @CBS12 . Keeping viewers informed on air https://www. instagram.com/p/BYyDPpElCmy/,2
"Thanks, keep up the great job",2
Thanks for great coverage on aftermath of storm. #Boss,2
Thanks for keeping your cool and being a great source for all of us during Irma!,2
"Absolutely! From Germany, I was able to keep an eye on family and friends via Fox13 on the internet. Thanks for the continuous coverage!",2
Thanks for the prayers and Great Coverage,2
Thanks to @RuffesFOX13 @jenepsteinfox13 @FOX13News @DaveOFox13 @PaulFox13 for keeping us informed during #HurrcaneIrma your coverage was #1,2
Thank you @FOX13News for the continued coverage during the storm! You all did an amazing job keeping us informed and to the point.,2
@FOX13News Thanks for keeping us up to speed. Watching online to see how largo faired. Please advise and show footage. #watchphilly,2
It's gonna be a sleepless night as #HurricaneIrma bares down on us. Thank you @FOX13News for keeping us informed! Following online w/o power,2
Great picture! Thanks for keeping us informed Paul!,2
Thanks to @FOX13News for shifting football to another channel to give us a mental distraction while maintaining #irma coverage on broadcast pic.twitter.com/1ndjlzPz20,2
Thanks for keeping us informed.,2
Thanks Walter! Great job this morning.,2
