A Before,B Before,A After,B After,Topic Num,Tweet
12,12,12,12,7,"Good morning, Brian! I sure hope so"
6,10,6,6,4,I don't see black people or white people doing the looting .. I just see criminal scum.
11,11,11,11,5,"@wsvn thank you for a great job during & after Irma, on keeping us informed!!"
3,3,3,3,8,Retweeted WPLG Local 10 News ( @WPLGLocal10 ): Tornado watch issued for all of South Florida until noon... http:// fb.me/8IE19IDvM
11,11,11,11,2,Great job fellas! You guys are awesome!
11,11,11,11,7,Great job fellas! You guys are awesome!
3,3,3,3,1,"2AM #IRMA UPDATE | Irma restrengthens to a Category 4 hurricane, 130-mph storm -- pushes toward the Florida Keys http:// wtsp.com"
5,5,5,5,8,Insurance adjusters hit central Florida neighborhoods http:// dlvr.it/PmYx3S pic.twitter.com/gczZ5aGhrb
3,3,3,3,1,Latest tracks for Irma.. @BobbyDWeather @10NewsWTSP #irma #hurricane #hurricaneirma #florida #weather pic.twitter.com/jXdDFFKnzW
11,11,11,11,5,Thanks for keeping us in the know @JulieDurda
11,11,11,11,7,Hope you have a great day cute KChapmanCBS12
11,11,11,11,7,Good luck and good fighting.
3,3,3,3,1,8 A.M. HURRICANE MARIA UPDATE | #Maria remains a Category 3 storm with 115 mph winds http:// on.wtsp.com/2jLuV6n
3,3,3,3,1,Latest track.. #irma #hurricaneirma #hurricane @10NewsWTSP @BobbyDWeather pic.twitter.com/1HWovPIvWb
12,12,12,12,9,looks like President Trump did it right again
11,11,11,11,3,Stay safe and God bless you all.
11,11,11,11,3,Stay safe and God bless you all.
11,11,11,11,7,Goood morning Erika :o) keep up the great work :)
1,1,1,1,8,Central Florida prepares for Hurricane Irma http:// dlvr.it/PknsZH pic.twitter.com/hbQHhwinOH
3,4,4,4,6,North Palm Beach Power Outages. @WPTV @insideFPL
12,12,12,12,8,Hot temperatures expected across Central Florida http:// dlvr.it/Pr1376 pic.twitter.com/2jbds1MlxX
3,3,3,3,1,2 a.m. Hurricane Irma update: Storm strengthens to a Category 4 http:// on.wtsp.com/2fboWDd pic.twitter.com/xW0bRgq0y0
11,11,11,11,2,@PaulFox13 KEEP DOING A GREAT JOB
12,12,12,12,9,Sure looks like it. Just don't know what will come first. That or the tides lol
5,5,5,5,6,FPL: Power restored to 70 percent of customers after Hurricane Irma.
11,11,11,11,5,Was super scary. Thanks for providing great coverage
12,12,12,12,7,Good Morning Hilary have a great day
11,11,11,11,5,Great job @WPTV for keeping us informed during IRMA
3,5,4,5,6,"Tallahassee official tells @WCTV 40,000 utility customers lost power overnight & power restored to 11,000."
11,11,11,11,3,Wow! Praying everyone is safe
10,10,10,10,6,@insideFPL @wsvn FPL provides no updates to customers or says their power is restored when in fact it's still out. Very frustrating
3,3,3,3,1,Retweeted 10News WTSP ( @10NewsWTSP ): Hurricane Irma weakens to a Category 1 storm -- a recap... http:// fb.me/4qm2dNOGn
11,11,11,11,7,Great job! Hope everyone is safe.
12,12,12,12,9,"Did I answer the wrong one?! LOL WELL , I also don't like bagels."
11,11,11,11,3,You guys stay safe! Miss seeing you guys in Greensboro!
3,3,3,3,1,5 AM IRMA UPDATE | Irma remains a Category 1 hurricane with winds at 75 mph -- about 60 miles north of Tampa http:// on.wtsp.com/2vO6pTC
3,4,4,4,6,FPL: 1.4 million customers without power in Florida.
11,11,11,11,5,Thanks Walter! Great job this morning.
11,11,11,11,7,Thanks Walter! Great job this morning.
12,12,12,12,7,good morning Titus...........
11,11,11,11,5,Thanks Walter! Great job this morning.
11,11,11,11,7,Thanks Walter! Great job this morning.
3,3,3,3,1,"HURRICANE MARIA UPDATE | #Maria is now a Category 3 storm w/ 115 mph winds -- It's about 70 miles north of Punta Cana, Dominican Republic"
11,11,11,11,2,Doing a fantastic job!
11,11,11,11,3,Thank you so much guys. Stay safe!
12,12,12,12,4,I know! Wondering why don't you let me in.
11,11,11,11,3,"Stay safe, Suzy. Praying for y'all!"
11,11,11,11,2,You guys are doing a great job! Thank you!
11,11,11,11,2,Great picture! Thanks for keeping us informed Paul!
11,11,11,11,5,Great picture! Thanks for keeping us informed Paul!
2,5,2,2,6,FPL says customers don't need to call about outages. New system lets officials know when customers are w/o power. http:// bit.ly/2xXxEvL
11,11,11,11,3,Stay safe. Be careful... God Bless
11,7,7,7,2,I'm on lake worth and Congress. Staff is doing a great job keeping lines moving...
11,11,11,11,3,@BlingoFlam i hope your friends are safe
11,11,11,11,7,Good Morning...Have a great dat @ABCWorldNewsNow Great seeing you guys @Diane &Kendice#Great team @WPLGLocal10
11,11,11,11,2,Thank you so much you guys are doing a great job.
6,6,6,6,4,they give the black people bad names themselves don't need white people to say anything
12,12,12,12,9,Looks like number 11 forming right behind it
12,12,12,12,9,Lol looks like a normal south fla stormy morning
11,11,11,11,7,Good work @WPLGLocal10
11,11,11,11,3,Hope you and your family are safe.
11,11,11,11,2,Great coverage. @WPLGLocal10
11,11,11,11,5,Great coverage. @WPLGLocal10
2,10,10,10,8,South Florida state senator tries using FPL to put her family first http:// dlvr.it/Pp1xMz pic.twitter.com/0KQauSzaSr
3,3,3,3,1,"8AM #IRMA UPDATE | Now a tropical storm with 70 mph winds, pushing toward Florida/Georgia line http:// wtsp.com/live"
11,11,11,11,7,Good morning Ladies...Great clip
11,11,11,11,3,Stay safe and God bless you all.
11,11,11,11,3,Stay safe and God bless you all.
11,11,11,11,5,Thanks for keeping us informed and not freaking us out like The Weather Channel. Great job!
11,11,11,11,5,"Thanks, keep up the great job"
11,11,11,11,5,@WPLGLocal10 Thanks for the great coverage!
11,11,11,11,5,"Great to know, thanks!"
11,11,11,11,5,"@WPTV Amazing job, guys. Thanks for keeping us informed and aware."
6,6,6,6,4,Always black people !
11,11,11,11,5,Amazing. Great job. Thanks for your service.
11,11,11,11,3,Stay safe! God bless you all!
11,11,11,11,3,Stay safe! God bless you all!
11,11,11,11,2,"Big shoutout to @mysuncoast ABC7 WWSB, whose Roku channel is doing a great job keeping Sarasota evacuees informed. #HurricaneIrma"
11,11,11,11,2,@WPLGLocal10 great job team!!!! Thank you very much!!!!!
11,11,11,11,3,God Bless you all. Be safe !!
11,11,11,11,5,Thanks for the prayers and Great Coverage
7,7,7,7,6,all restored? I don't have power still
3,3,3,3,1,Sunny but extremely windy today in Hillsborough county. Expect winds of 30-40 mph @10NewsWTSP #irma #hurricane #hurricaneirma pic.twitter.com/Z5Np36x9rJ
12,12,12,12,9,"But BLM, don't ya know??!! Lol"
11,11,11,11,2,GOOD DAY JENN!...YOURE DOING A GREAT JOB
11,11,11,11,7,GOOD DAY JENN!...YOURE DOING A GREAT JOB
7,9,9,9,4,They need help on alafia right now
7,9,9,9,4,They need help on alafia right now
3,3,3,3,1,"#Irma UPDATE: Storm surge is the greatest threat to life & property during a hurricane"" @FLGovScott @10NewsWTSP 24-7 coverage on #10News pic.twitter.com/Fvyffo1gZa"""
11,11,11,11,7,Great job this morning ladies..hope you enjoy the rest of your weekend
11,11,11,11,2,GOOD DAY JENN!...YOURE DOING A GREAT JOB
11,11,11,11,7,GOOD DAY JENN!...YOURE DOING A GREAT JOB
2,5,2,2,6,Customers don't need to call FPL to report outages. Power Tracker detects outages for customers; crews then respond. http:// bit.ly/2xZ0P1l pic.twitter.com/FPtXZSvV3b
11,11,11,11,2,@WPLGLocal10 we have been watching you guys all day Great job! Thank you for keeping us well informed #Irma
11,2,9,9,4,Please let us know how we can help!
11,11,11,11,2,Thank you @FOX13News for keeping us informed great coverage on #HurricanIrma
11,11,11,11,5,Thank you @FOX13News for keeping us informed great coverage on #HurricanIrma
11,11,11,11,7,@terihornstein Good morning from #TrinidadAndTobago Teri Awesome Anchor job on @CBS12 this morning Keep up the GREAT work!!! pic.twitter.com/tYO0WBhU1D
11,11,11,11,7,@WalterAllenTV you are the best morning show!! You guys always make my morning!!!! Have a good day Tampa Bay!
11,11,11,11,5,@FOX13News thanks for keeping us informed
7,9,9,9,4,They need help on alafia right now
7,9,9,9,4,They need help on alafia right now
11,11,11,11,2,Thank you @JulieDurda for keeping us informed
11,11,11,11,7,Good luck Catherine! Keep up the good work!
11,11,11,11,2,Great coverage. @WPLGLocal10
11,11,11,11,5,Great coverage. @WPLGLocal10
11,11,11,11,3,"@TourChef Hi D, hope you & your family are ok Sending prayers Stay safe, stay warm and stay here Lord"
12,12,12,12,8,Tropical rain to drench Central Florida http:// dlvr.it/PrF5GK pic.twitter.com/Fjpt4zG2Hi
11,11,11,11,3,"#sflatransplantlivinginChattanooga , STAY SAFE"
11,11,11,11,5,Thanks! Great work from everyone @wsvn !
12,12,12,12,9,Look's like it's time for some BBQ!
7,11,7,11,2,@JenniferLocal10 it is my first storm! I am keeping myself informed watching @WPLGLocal10 your team is doing a great job!
11,11,11,11,2,Take a break you guys are doing a great job
11,11,11,11,7,Take a break you guys are doing a great job
11,11,11,11,2,Great job fellas! You guys are awesome!
11,11,11,11,7,Great job fellas! You guys are awesome!
12,12,12,12,4,If you need locks let me know #Security
6,6,6,6,4,And not ALL black people steal. White people steal too
11,11,11,11,7,Good luck and happy first day!
6,6,6,6,4,How come I don't see any white people looting ?
11,11,11,11,2,God Bless him! Thank you for your service.
11,11,11,11,3,Hope you all stay safe!
11,11,11,11,2,@FOX13News doing a great job of keeping us informed! The entire team is amazing! Thanks for all you're doing! Stay safe! #TampaStrong
11,11,11,11,2,Thank you @FOX13News for keeping us informed great coverage on #HurricanIrma
11,11,11,11,5,Thank you @FOX13News for keeping us informed great coverage on #HurricanIrma
11,11,11,11,3,Please stay safe my friends!!!!
11,11,11,11,5,Great meeting you today. Thanks for your interest & the great coverage.
11,11,11,11,3,"Thanks, Joe. Hope you and your family are safe as well. God bless, man."
12,12,12,12,4,Frigging White People.
2,9,2,2,8,"Retweeted WPLG Local 10 News ( @WPLGLocal10 ): #BREAKING 13 shelters in South Florida are now filled to capacity,... http:// fb.me/xypwRtog"
11,11,11,11,3,You're by my family. Stay safe!
11,11,11,11,2,@CBS12 @you did a great job of keeping us informed.. Thank you!
11,11,11,11,5,@CBS12 @you did a great job of keeping us informed.. Thank you!
6,10,6,6,4,Why are you only showing black people? White people loot.
11,11,11,11,3,Stay safe! God bless you all!
11,11,11,11,3,Stay safe! God bless you all!
11,11,11,11,3,GOD BLESS you guys HOPE the damage isn't TO BAD!
11,11,11,11,3,How cute God bless you guys be safe
12,12,12,12,9,Looks like an #F1 Tracking system... lol sorry
11,11,11,11,2,@thebettydavis @JulieDurda @JenniferLocal10 @LukeDorris @WPLGLocal10 Great Job #HurricaneIrma keeping Us Informed + Safe Thank you God Bless
11,11,11,11,2,Great picture! Thanks for keeping us informed Paul!
11,11,11,11,5,Great picture! Thanks for keeping us informed Paul!
6,6,6,6,4,"Yeah, because only Black people commit crime against other Black people, right?"
11,11,11,11,2,Take a break you guys are doing a great job
11,11,11,11,7,Take a break you guys are doing a great job
11,11,11,11,7,Good luck & Godspeed!
12,12,12,12,4,@FLGovScott We will continue to let people know
3,3,3,3,1,"UPDATE | @NHC_Atlantic says Hurricane Maria has re-intensified to a 160 mph, Category 5 storm"
7,9,9,9,4,They need to hurry and help those people!
11,11,11,11,5,Thanks for keeping us informed.
6,6,6,6,4,"I don't think only black people steal, I just don't see any white people in this video."
11,11,11,11,2,@CBS12 @you did a great job of keeping us informed.. Thank you!
11,11,11,11,5,@CBS12 @you did a great job of keeping us informed.. Thank you!
6,10,6,6,9,Don't like it? Don't loot. BAM!!!
